data_id,group,root_biomass_n_addation,root_biomass_ck,latitude,longitude,n_addition,fertilizer_type,treatment_date,duration,soil_depth,ecosystem/vegetation_type,age,climate,soil_type,p,ta,available_water_capacity_for_rootable_soil_depth,coarse_fragments,sand,silt,clay,bulk,organic_carbon_content,ph_in_water,total_nitrogen_content,cn_ratio,cec_soil,cec_clay,cec_eff,teb,bsat,alum_sat,esp,tcarbon_eq,gypsum,elec_cond
1,3,2.02,2.804,53.21667,-4.0167,35,NH4NO3,1995,0.5,15,grassland,,temperate climate,,1000,10.5,37,12,48,29,23,0.93,5.198,4.9,4.9,14,18,44,5,3,29,14,1,0,0.3,1
2,3,2.902,3.214,53.21667,-4.0167,35,NH4NO3,1995,0.5,15,grassland,,temperate climate,,1000,10.5,37,12,48,29,23,0.93,5.198,4.9,4.9,14,18,44,5,3,29,14,1,0,0.3,1
3,3,1.422,2.014,53.21667,-4.0167,35,NH4NO3,1995,0.5,15,grassland,,temperate climate,,1000,10.5,37,12,48,29,23,0.93,5.198,4.9,4.9,14,18,44,5,3,29,14,1,0,0.3,1
4,3,0.814,1.111,53.21667,-4.0167,35,NH4NO3,1995,0.5,15,grassland,,temperate climate,,1000,10.5,37,12,48,29,23,0.93,5.198,4.9,4.9,14,18,44,5,3,29,14,1,0,0.3,1
5,4,12.5,19.4,36.6167,-79.1333,10,(NH4)2SO4,2008,1,28.5,forest,,subtropical climate,"low-fertility, sandy loam of the White Store series",1100,14.6,138,8,53,28,19,1.07,1.328,5.2,1.13,15,6,12,4,3,50,11,1,0,0,0
6,4,4.6,19.4,36.6167,-79.1333,30,(NH4)2SO4,2008,1,28.5,forest,,subtropical climate,"low-fertility, sandy loam of the White Store series",1100,14.6,138,8,53,28,19,1.07,1.328,5.2,1.13,15,6,12,4,3,50,11,1,0,0,0
7,4,22,19.4,36.6167,-79.1333,60,(NH4)2SO4,2008,1,28.5,forest,,subtropical climate,"low-fertility, sandy loam of the White Store series",1100,14.6,138,8,53,28,19,1.07,1.328,5.2,1.13,15,6,12,4,3,50,11,1,0,0,0
8,4,19.4,19.4,36.6167,-79.1333,100,(NH4)2SO4,2008,1,28.5,forest,,subtropical climate,"low-fertility, sandy loam of the White Store series",1100,14.6,138,8,53,28,19,1.07,1.328,5.2,1.13,15,6,12,4,3,50,11,1,0,0,0
9,6,961.306,1104.66,46.8666,-88.8833,30,NaNO3,1994,7,0-20,forest,94,temperate climate,Spodosol,821,4.8,165,2,24,51,25,1,4.177,5.2,3.46,13,24,20,13,9,38,39,1,0,0,1
10,6,864.836,800.249,45.55,-84.85,30,NaNO3,1994,7,0-20,forest,88,temperate climate,Spodosol,828,6.1,173,5,36,42,22,1.07,4.985,6.1,5.42,13,30,46,25,22,71,0,1,0,0,1
11,6,837.595,742.726,44.3833,-85.8333,30,NaNO3,1994,7,0-20,forest,89,temperate climate,Spodosol,856,6.9,177,2,43,45,12,1.41,1.561,5.7,1.49,12,12,47,13,11,77,6,1,0,0,0
12,6,996.753,988.43,43.6666,-86.15,30,NaNO3,1994,7,0-20,forest,93,temperate climate,Spodosol,793,7.6,173,5,36,42,22,1.07,4.985,6.1,5.42,13,30,46,25,22,71,0,1,0,0,1
13,8,240.625,165.625,39.0833,-96.5833,88,(NH4)2SO4,2000,0.33,0-20,grassland,,subtropical climate,,890,12.5,158,11,31,46,23,1.45,1.784,6.4,1.65,11,20,60,20,19,89,0,1,0,0,1
14,11,1158.91,898.501,23.3333,113.5,100,NH4NO3,2005,2.75,0-20,forest,1-2,tropical climate,,1750,21.5,142,3,50,24,26,1.52,1.209,5.2,0.95,14,7,12,4,2,43,21,1,0,0,0
15,17,91.67,133.63,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
16,17,88.38,146.44,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
17,17,63.5,189.53,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
18,17,102.26,233.03,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
19,17,61.06,289.43,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
20,17,59.64,103.68,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
21,17,41.68,66.36,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
22,17,29.58,54.37,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
23,17,32.41,52.62,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
24,17,36.2,56.51,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
25,17,56.04,102.41,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
26,17,37.93,60.57,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
27,17,34.65,51.89,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
28,17,27.53,45.75,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
29,17,22.76,42.08,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
30,17,137.6,138.77,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
31,17,73.42,75.75,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
32,17,71.39,66.52,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
33,17,98.49,80.82,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
34,17,171.63,160.1,45.3833,127.5333,100,NH4NO3,2002,5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
35,17,91.14,189.26,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
36,17,47.97,86.25,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
37,17,41.86,64.5,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
38,17,56.15,62.97,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
39,17,66.51,106.09,45.3833,127.5333,100,NH4NO3,2002,5.33,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
40,17,92.27,179,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
41,17,41.43,79.86,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
42,17,41.85,69.63,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
43,17,67.8,86.62,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
44,17,73.84,116.02,45.3833,127.5333,100,NH4NO3,2002,5.5,0-10,forest,2,temperate climate,Hap-Boric Luvisol,723,2.8,159,7,31,50,19,1.48,1.599,6,1.69,11,15,47,13,13,80,0,1,0,0.1,1
45,20,843.187,752.241,53.0833,-111.05,54.4,NH4NO3,2003,1,0-20,grassland,,temperate climate,,425,2,164,6,26,48,26,1.36,2.791,6.6,2.61,11,24,59,23,23,92,0,1,0,0.8,1
46,22,7.308,5.897,31.6833,103.8833,250,NH4NO3,2007,1.6,0-20,forest,3,subtropical climate,,900,8.9,165,7,44,36,20,1.41,1.054,8,1.02,9,15,59,39,39,100,0,2,11.2,2.1,1
48,35,107,61,59.6167,16.3333,150,NH4NO3,1983,2,0-20,forest,99,temperate climate,,640,6.5,32,14,54,40,6,1.08,7.217,4.7,4,18,25,74,10,7,27,33,1,0,0,0
49,35,154,61,59.6167,16.3333,225,NH4NO3,1983,2,0-20,forest,99,temperate climate,,640,6.5,32,14,54,40,6,1.08,7.217,4.7,4,18,25,74,10,7,27,33,1,0,0,0
50,35,140,134,59.6167,16.3333,150,NH4NO3,1983,1,0-20,forest,42,temperate climate,,640,6.5,32,14,54,40,6,1.08,7.217,4.7,4,18,25,74,10,7,27,33,1,0,0,0
51,35,206,299,57.65,14.6833,150,NH4NO3,1983,3,0-20,forest,84,temperate climate,,640,6.5,32,14,54,40,6,1.08,7.217,4.7,4,18,25,74,10,7,27,33,1,0,0,0
52,35,205,299,57.65,14.6833,225,NH4NO3,1983,3,0-20,forest,84,temperate climate,,640,6.5,32,14,54,40,6,1.08,7.217,4.7,4,18,25,74,10,7,27,33,1,0,0,0
53,35,161,79,58.6,15.7,150,NH4NO3,1983,2,0-20,forest,46,temperate climate,,640,6.5,32,14,54,40,6,1.08,7.217,4.7,4,18,25,74,10,7,27,33,1,0,0,0
54,35,174,79,58.6,15.7,150,urea,1983,2,0-20,forest,46,temperate climate,,640,6.5,32,14,54,40,6,1.08,7.217,4.7,4,18,25,74,10,7,27,33,1,0,0,0
55,35,48,103,57.65,14.683,150,NH4NO3,1978,7,0-20,forest,74,temperate climate,,640,6.5,32,14,54,40,6,1.08,7.217,4.7,4,18,25,74,10,7,27,33,1,0,0,0
56,35,62,103,57.65,14.683,150,urea,1978,7,0-20,forest,74,temperate climate,,640,6.5,32,14,54,40,6,1.08,7.217,4.7,4,18,25,74,10,7,27,33,1,0,0,0
57,37,36.218,34.333,38.2166,-122.95,100,NH4NO3,1999,0.4,0-20,grassland,,subtropical climate,,851,7,157,18,36,35,29,1.38,1.993,6.3,1.95,11,23,57,15,14,80,0,2,0,0,0
58,37,19.932,14.86,38.2166,-122.95,100,NH4NO3,1999,0.4,0-20,grassland,,subtropical climate,,852,7,157,18,36,35,29,1.38,1.993,6.3,1.95,11,23,57,15,14,80,0,2,0,0,0
59,37,14.151,7.765,38.2166,-122.95,100,NH4NO3,1999,0.4,0-20,grassland,,subtropical climate,,853,7,157,18,36,35,29,1.38,1.993,6.3,1.95,11,23,57,15,14,80,0,2,0,0,0
60,37,13.427,9.293,38.2166,-122.95,100,NH4NO3,1999,0.4,0-20,grassland,,subtropical climate,,854,7,157,18,36,35,29,1.38,1.993,6.3,1.95,11,23,57,15,14,80,0,2,0,0,0
61,37,24.14,10.443,38.2166,-122.95,100,NH4NO3,1999,0.4,0-20,grassland,,subtropical climate,,855,7,157,18,36,35,29,1.38,1.993,6.3,1.95,11,23,57,15,14,80,0,2,0,0,0
62,37,7.291,4.47,38.2166,-122.95,100,NH4NO3,1999,0.4,0-20,grassland,,subtropical climate,,850,7,157,18,36,35,29,1.38,1.993,6.3,1.95,11,23,57,15,14,80,0,2,0,0,0
63,41,99.5,49.7,39,-121,100,(NH4)2SO4,1993,0.5,0-20,forest,3,subtropical climate,Aiken clay loam,1000,18,170,11,37,33,30,1.45,1.743,6.5,1.49,12,18,46,17,16,78,0,1,0,0.1,1
